항공사,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
대한항공,161,157,153,160,170,167,161,163,156,149
아시아나항공,81,77,82,85,86,83,83,83,86,84
제주항공,42,37,39,44,45,39,31,26,22,17
진에어,27,26,25,28,26,27,22,20,13,11
에어부산,22,22,24,24,26,25,18,16,14,12
이스타항공,10,3,2,10,23,22,17,17,12,8
티웨이항공,30,30,27,27,28,24,16,14,10,7
에어서울,6,6,6,6,7,7,3,0,0,0
플라이강원,0,4,2,2,2,0,0,0,0,0
에어로케이,5,1,1,0,0,0,0,0,0,0
에어프레미아,5,3,1,0,0,0,0,0,0,0
에어인천,4,3,3,1,1,2,2,2,2,2
